95.84,[784, 32, 16, 10],[sigmoid, tanh],adam,{'lr': 0.002, 'weight_decay': 0.0}
56.72,[784, 32, 16, 10],[sigmoid, tanh],adam,{'lr': 0.02, 'weight_decay': 0.0}
96.11,[784, 32, 16, 10],[sigmoid, tanh],adam,{'lr': 0.002, 'weight_decay': 0.001}
72.75,[784, 32, 16, 10],[sigmoid, tanh],adam,{'lr': 0.02, 'weight_decay': 0.001}
80.97,[784, 32, 16, 10],[sigmoid, tanh],sgd,{'lr': 0.001, 'momentum': 0.1, 'weight_decay': 0.0}
94.67,[784, 32, 16, 10],[sigmoid, tanh],sgd,{'lr': 0.01, 'momentum': 0.1, 'weight_decay': 0.0}
75.91,[784, 32, 16, 10],[sigmoid, tanh],sgd,{'lr': 0.001, 'momentum': 0.1, 'weight_decay': 0.001}
94.26,[784, 32, 16, 10],[sigmoid, tanh],sgd,{'lr': 0.01, 'momentum': 0.1, 'weight_decay': 0.001}
94.72,[784, 32, 16, 10],[sigmoid, tanh],asgd,{'lr': 0.01, 'weight_decay': 0.0}
95.95,[784, 32, 16, 10],[sigmoid, tanh],asgd,{'lr': 0.02, 'weight_decay': 0.0}
93.99,[784, 32, 16, 10],[sigmoid, tanh],asgd,{'lr': 0.01, 'weight_decay': 0.001}
95.5,[784, 32, 16, 10],[sigmoid, tanh],asgd,{'lr': 0.02, 'weight_decay': 0.001}
96.13,[784, 32, 16, 10],[sigmoid, relu],adam,{'lr': 0.002, 'weight_decay': 0.0}
10.28,[784, 32, 16, 10],[sigmoid, relu],adam,{'lr': 0.02, 'weight_decay': 0.0}
96.06,[784, 32, 16, 10],[sigmoid, relu],adam,{'lr': 0.002, 'weight_decay': 0.001}
83.76,[784, 32, 16, 10],[sigmoid, relu],adam,{'lr': 0.02, 'weight_decay': 0.001}
78.76,[784, 32, 16, 10],[sigmoid, relu],sgd,{'lr': 0.001, 'momentum': 0.1, 'weight_decay': 0.0}
94.83,[784, 32, 16, 10],[sigmoid, relu],sgd,{'lr': 0.01, 'momentum': 0.1, 'weight_decay': 0.0}
77.18,[784, 32, 16, 10],[sigmoid, relu],sgd,{'lr': 0.001, 'momentum': 0.1, 'weight_decay': 0.001}
94.43,[784, 32, 16, 10],[sigmoid, relu],sgd,{'lr': 0.01, 'momentum': 0.1, 'weight_decay': 0.001}
94.01,[784, 32, 16, 10],[sigmoid, relu],asgd,{'lr': 0.01, 'weight_decay': 0.0}
95.82,[784, 32, 16, 10],[sigmoid, relu],asgd,{'lr': 0.02, 'weight_decay': 0.0}
93.98,[784, 32, 16, 10],[sigmoid, relu],asgd,{'lr': 0.01, 'weight_decay': 0.001}
94.97,[784, 32, 16, 10],[sigmoid, relu],asgd,{'lr': 0.02, 'weight_decay': 0.001}
96.36,[784, 28, 28, 10],[sigmoid, tanh],adam,{'lr': 0.002, 'weight_decay': 0.0}
35.75,[784, 28, 28, 10],[sigmoid, tanh],adam,{'lr': 0.02, 'weight_decay': 0.0}
95.31,[784, 28, 28, 10],[sigmoid, tanh],adam,{'lr': 0.002, 'weight_decay': 0.001}
80.13,[784, 28, 28, 10],[sigmoid, tanh],adam,{'lr': 0.02, 'weight_decay': 0.001}
81.82,[784, 28, 28, 10],[sigmoid, tanh],sgd,{'lr': 0.001, 'momentum': 0.1, 'weight_decay': 0.0}
94.51,[784, 28, 28, 10],[sigmoid, tanh],sgd,{'lr': 0.01, 'momentum': 0.1, 'weight_decay': 0.0}
83.42,[784, 28, 28, 10],[sigmoid, tanh],sgd,{'lr': 0.001, 'momentum': 0.1, 'weight_decay': 0.001}
94.19,[784, 28, 28, 10],[sigmoid, tanh],sgd,{'lr': 0.01, 'momentum': 0.1, 'weight_decay': 0.001}
94.29,[784, 28, 28, 10],[sigmoid, tanh],asgd,{'lr': 0.01, 'weight_decay': 0.0}
95.5,[784, 28, 28, 10],[sigmoid, tanh],asgd,{'lr': 0.02, 'weight_decay': 0.0}
93.59,[784, 28, 28, 10],[sigmoid, tanh],asgd,{'lr': 0.01, 'weight_decay': 0.001}
95.21,[784, 28, 28, 10],[sigmoid, tanh],asgd,{'lr': 0.02, 'weight_decay': 0.001}
95.37,[784, 28, 28, 10],[sigmoid, relu],adam,{'lr': 0.002, 'weight_decay': 0.0}
